timestamp,hour_of_day,month,day_of_year,cloud_cover_pct,shortwave_radiation_wm2,direct_radiation_wm2,temperature_c,solar_generation_kw
2025-01-01 00:00:00,0,1,1,36.44,0.0,0.0,13.39,0.0
2025-01-01 01:00:00,1,1,1,58.12,0.0,0.0,8.69,0.0
2025-01-01 02:00:00,2,1,1,42.39,0.0,0.0,9.21,0.0
2025-01-01 03:00:00,3,1,1,54.54,0.0,0.0,8.91,0.0
2025-01-01 04:00:00,4,1,1,53.43,0.0,0.0,9.29,0.0
2025-01-01 05:00:00,5,1,1,27.17,0.0,0.0,12.36,0.0
2025-01-01 06:00:00,6,1,1,1.81,0.0,0.0,15.54,0.0
2025-01-01 07:00:00,7,1,1,4.93,249.26,236.97,12.68,19.44
2025-01-01 08:00:00,8,1,1,11.0,458.74,408.27,19.27,36.78
2025-01-01 09:00:00,9,1,1,4.8,681.66,648.95,23.79,55.54
2025-01-01 10:00:00,10,1,1,39.64,608.53,367.29,21.2,49.23
2025-01-01 11:00:00,11,1,1,6.15,921.36,864.68,22.24,72.46
2025-01-01 12:00:00,12,1,1,42.13,684.01,395.83,27.45,55.02
2025-01-01 13:00:00,13,1,1,31.67,736.52,503.29,31.87,56.4
2025-01-01 14:00:00,14,1,1,16.99,755.7,627.35,26.65,60.26
2025-01-01 15:00:00,15,1,1,20.21,599.93,478.69,30.63,45.36
2025-01-01 16:00:00,16,1,1,46.75,324.69,172.9,27.65,25.66
2025-01-01 17:00:00,17,1,1,51.39,159.06,77.31,29.4,10.14
2025-01-01 18:00:00,18,1,1,45.84,0.0,0.0,24.66,0.0
2025-01-01 19:00:00,19,1,1,15.36,0.0,0.0,26.58,0.0
2025-01-01 20:00:00,20,1,1,5.09,0.0,0.0,24.09,0.0
2025-01-01 21:00:00,21,1,1,45.67,0.0,0.0,20.97,0.0
2025-01-01 22:00:00,22,1,1,49.56,0.0,0.0,17.82,0.0
2025-01-01 23:00:00,23,1,1,15.8,0.0,0.0,13.13,0.0
2025-01-02 00:00:00,0,1,2,28.74,0.0,0.0,13.83,0.0
2025-01-02 01:00:00,1,1,2,0.0,0.0,0.0,10.69,0.0
2025-01-02 02:00:00,2,1,2,14.08,0.0,0.0,11.73,0.0
2025-01-02 03:00:00,3,1,2,28.55,0.0,0.0,9.36,0.0
2025-01-02 04:00:00,4,1,2,32.32,0.0,0.0,7.24,0.0
2025-01-02 05:00:00,5,1,2,0.0,0.0,0.0,8.68,0.0
2025-01-02 06:00:00,6,1,2,15.62,0.0,0.0,14.15,0.0
2025-01-02 07:00:00,7,1,2,63.44,135.67,49.6,17.5,12.07
2025-01-02 08:00:00,8,1,2,44.1,334.61,187.04,17.19,27.69
2025-01-02 09:00:00,9,1,2,30.1,547.5,382.72,24.19,42.6
2025-01-02 10:00:00,10,1,2,18.72,744.46,605.12,19.68,61.32
2025-01-02 11:00:00,11,1,2,58.85,539.58,222.03,26.09,41.34
2025-01-02 12:00:00,12,1,2,29.73,777.01,545.99,25.74,62.53
2025-01-02 13:00:00,13,1,2,35.34,709.94,459.08,29.59,54.87
2025-01-02 14:00:00,14,1,2,15.35,766.31,648.67,28.96,60.77
2025-01-02 15:00:00,15,1,2,5.15,679.81,644.82,24.89,54.46
2025-01-02 16:00:00,16,1,2,68.09,244.68,78.09,29.34,17.5
2025-01-02 17:00:00,17,1,2,34.01,192.81,127.24,29.69,15.05
2025-01-02 18:00:00,18,1,2,35.37,0.0,0.0,29.1,0.07
2025-01-02 19:00:00,19,1,2,16.85,0.0,0.0,25.47,0.0
2025-01-02 20:00:00,20,1,2,63.61,0.0,0.0,25.0,0.0
2025-01-02 21:00:00,21,1,2,30.4,0.0,0.0,20.82,0.0
2025-01-02 22:00:00,22,1,2,26.12,0.0,0.0,16.67,0.0
2025-01-02 23:00:00,23,1,2,21.12,0.0,0.0,13.13,0.0
2025-01-03 00:00:00,0,1,3,20.1,0.0,0.0,10.54,0.0
2025-01-03 01:00:00,1,1,3,30.71,0.0,0.0,12.19,0.0
2025-01-03 02:00:00,2,1,3,58.3,0.0,0.0,8.21,0.0
2025-01-03 03:00:00,3,1,3,5.14,0.0,0.0,9.47,0.0
2025-01-03 04:00:00,4,1,3,42.21,0.0,0.0,10.54,0.0
2025-01-03 05:00:00,5,1,3,33.49,0.0,0.0,16.46,0.0
2025-01-03 06:00:00,6,1,3,14.15,0.0,0.0,14.7,0.0
2025-01-03 07:00:00,7,1,3,49.99,161.79,80.92,13.95,12.56
2025-01-03 08:00:00,8,1,3,22.24,416.61,323.96,19.19,32.72
2025-01-03 09:00:00,9,1,3,0.0,707.11,707.11,22.65,56.7
2025-01-03 10:00:00,10,1,3,46.63,563.15,300.54,19.96,44.6
2025-01-03 11:00:00,11,1,3,0.0,965.93,965.93,29.56,75.65
2025-01-03 12:00:00,12,1,3,27.84,791.23,570.97,27.33,61.88
2025-01-03 13:00:00,13,1,3,24.45,788.8,595.94,26.57,62.33
2025-01-03 14:00:00,14,1,3,13.69,777.12,670.75,27.31,62.67
2025-01-03 15:00:00,15,1,3,45.5,465.82,253.88,30.27,36.22
2025-01-03 16:00:00,16,1,3,47.06,323.53,171.29,29.54,24.34
2025-01-03 17:00:00,17,1,3,44.31,172.81,96.24,29.04,12.87
2025-01-03 18:00:00,18,1,3,27.18,0.0,0.0,27.4,0.1
2025-01-03 19:00:00,19,1,3,78.0,0.0,0.0,25.96,0.0
2025-01-03 20:00:00,20,1,3,8.14,0.0,0.0,21.8,0.0
2025-01-03 21:00:00,21,1,3,12.38,0.0,0.0,18.44,0.0
2025-01-03 22:00:00,22,1,3,17.89,0.0,0.0,16.76,0.0
2025-01-03 23:00:00,23,1,3,28.66,0.0,0.0,14.33,0.0
2025-01-04 00:00:00,0,1,4,22.02,0.0,0.0,8.51,0.0
2025-01-04 01:00:00,1,1,4,33.92,0.0,0.0,8.46,0.0
2025-01-04 02:00:00,2,1,4,33.1,0.0,0.0,11.15,0.0
2025-01-04 03:00:00,3,1,4,50.69,0.0,0.0,11.61,0.0
2025-01-04 04:00:00,4,1,4,32.73,0.0,0.0,9.23,0.0
2025-01-04 05:00:00,5,1,4,25.47,0.0,0.0,15.45,0.0
2025-01-04 06:00:00,6,1,4,12.2,0.0,0.0,10.78,0.0
2025-01-04 07:00:00,7,1,4,21.75,216.61,169.5,13.13,17.16
2025-01-04 08:00:00,8,1,4,14.49,445.66,381.09,16.17,37.08
2025-01-04 09:00:00,9,1,4,49.68,443.64,223.23,20.34,34.57
2025-01-04 10:00:00,10,1,4,36.22,630.77,402.3,19.69,50.41
2025-01-04 11:00:00,11,1,4,27.54,766.39,555.3,20.85,61.91
2025-01-04 12:00:00,12,1,4,38.01,714.89,443.12,26.68,58.01
2025-01-04 13:00:00,13,1,4,14.5,860.9,736.1,29.06,68.84
2025-01-04 14:00:00,14,1,4,19.62,738.59,593.67,25.69,60.19
2025-01-04 15:00:00,15,1,4,9.36,657.45,595.88,28.19,53.28
2025-01-04 16:00:00,16,1,4,33.8,373.27,247.12,27.56,28.81
2025-01-04 17:00:00,17,1,4,33.52,193.76,128.81,31.71,13.8
2025-01-04 18:00:00,18,1,4,68.9,0.0,0.0,25.23,0.0
2025-01-04 19:00:00,19,1,4,10.38,0.0,0.0,20.37,0.0
2025-01-04 20:00:00,20,1,4,0.0,0.0,0.0,25.43,0.0
2025-01-04 21:00:00,21,1,4,30.29,0.0,0.0,21.76,0.0
2025-01-04 22:00:00,22,1,4,22.47,0.0,0.0,18.54,0.0
2025-01-04 23:00:00,23,1,4,24.84,0.0,0.0,12.79,0.0
2025-01-05 00:00:00,0,1,5,18.61,0.0,0.0,13.95,0.0
2025-01-05 01:00:00,1,1,5,20.62,0.0,0.0,14.58,0.0
2025-01-05 02:00:00,2,1,5,26.67,0.0,0.0,13.28,0.0
2025-01-05 03:00:00,3,1,5,37.99,0.0,0.0,11.16,0.0
2025-01-05 04:00:00,4,1,5,81.64,0.0,0.0,9.48,0.0
2025-01-05 05:00:00,5,1,5,39.01,0.0,0.0,12.9,0.0
2025-01-05 06:00:00,6,1,5,46.98,0.0,0.0,12.0,0.0
2025-01-05 07:00:00,7,1,5,35.02,190.84,124.0,16.5,16.47
2025-01-05 08:00:00,8,1,5,45.58,329.09,179.11,19.64,26.13
2025-01-05 09:00:00,9,1,5,34.44,524.47,343.86,16.82,40.76
2025-01-05 10:00:00,10,1,5,42.01,593.16,343.97,19.46,47.41
2025-01-05 11:00:00,11,1,5,25.04,784.52,588.07,25.43,64.37
2025-01-05 12:00:00,12,1,5,36.35,727.37,462.97,28.99,56.94
2025-01-05 13:00:00,13,1,5,10.51,889.79,796.28,28.73,70.28
2025-01-05 14:00:00,14,1,5,5.69,829.07,781.9,31.06,64.49
2025-01-05 15:00:00,15,1,5,5.81,676.31,637.03,27.44,52.15
2025-01-05 16:00:00,16,1,5,28.57,392.88,280.65,29.01,31.43
2025-01-05 17:00:00,17,1,5,56.68,148.79,64.46,31.21,13.17
2025-01-05 18:00:00,18,1,5,17.65,0.0,0.0,25.08,0.14
2025-01-05 19:00:00,19,1,5,35.27,0.0,0.0,23.93,0.0
2025-01-05 20:00:00,20,1,5,25.89,0.0,0.0,22.79,0.0
2025-01-05 21:00:00,21,1,5,45.06,0.0,0.0,23.07,0.0
2025-01-05 22:00:00,22,1,5,32.83,0.0,0.0,19.73,0.0
2025-01-05 23:00:00,23,1,5,26.27,0.0,0.0,13.54,0.0
2025-01-06 00:00:00,0,1,6,69.53,0.0,0.0,10.04,0.0
2025-01-06 01:00:00,1,1,6,18.04,0.0,0.0,7.67,0.0
2025-01-06 02:00:00,2,1,6,19.83,0.0,0.0,10.97,0.0
